"38","WPC_5","1251","rhizoplaca",2010,2010,"ICP",0.91,0.1,0.02,0.71,0.03,0.05,53.19,0.24,NA,15.34,0.25,0.41,2.26,2.7,456.1,19.56,0.005,39.44,0.9,2.53,0.01,9.02,16.51,8.84,0.005,12.38,NA,NA,NA,0.218,51.595,NA,"39.242533","-115.3909"
"39","WRNF_FTWA_2","1199","xanthoparmelia",2009,2009,"ICP",3.38,0.38,0.2,1.08,0.14,0.121,1.57,2.7,NA,41.5,1.19,1.75,10.22,10.95,3745,67.49,0.005,127.54,10.35,16.02,0.01,0.245,58.72,78.92,0.005,46.06,NA,NA,NA,0.24,47.5,NA,"40.00641","-107.17184"
"40","HTNF_2","1403","rhizoplaca",2012,2012,"ICP",2.6,0.77,0.07,1.16,0.13,0.13,NA,0.88,NA,5.6,0.42,0.22,0.59,2.5,830,29.4,0.005,62.4,0.44,5.2,0.01,107.63,27.8,17.8,0.005,26,NA,NA,NA,0.096,46.629,NA,"38.1671","-115.60889"
"41","ANF_1","1391","xanthomendoza",2012,2012,"ICP",0.37,1.82,0.25,2.46,0.29,0.29,NA,2.16,NA,27.9,0.7,0.8,2.56,8.17,1609,76.6,0.005,125.7,1.99,3.6,0.01,0.245,11.6,34.6,0.005,99.4,NA,NA,NA,0.082,46.503,NA,"39.885","-110.776"
"42","ANF_2","1392","xanthomendoza",2012,2012,"ICP",0.23,1.58,0.14,2.46,0.2,0.23,NA,5.07,NA,10.5,0.37,0.5,1.42,5.73,839,31.9,0.005,84.4,1.13,1.4,0.01,0.245,10.3,18.2,0.005,189.1,NA,NA,NA,0.03,46.099,NA,"40.078","-110.848"
"43","HUW_9","1160","rhizoplaca ",NA,2009,"nk",4.069,0.296,0.072,0.927,0.088,0.101,NA,0.24,NA,12.83,0.05,0.06,5.14,6.03,1910,22.6,0.005,94.99,0.64,7.81,0.01,3.41,20.92,42.16,0.005,33.46,NA,NA,NA,0.18,45.3,NA,"40.5976","-109.84063"
"44","HTNF_3","1404","rhizoplaca",2012,2012,"ICP",3.6,0.64,0.08,1.01,0.11,0.13,NA,0.22,NA,7.1,0.48,0.24,0.38,2.19,917,26,0.005,83.8,0.7,6.9,0.01,106.99,54.3,20.3,0.005,22.5,NA,NA,NA,0.097,45.172,NA,"38.16705","-115.60889"
"45","MI_ReInvent_7","1154","rhizoplaca ",NA,2009,"nk",3.055,0.401,0.157,1.072,0.109,0.135,NA,27.97,NA,10.56,9.04,5.09,13.46,63.55,3926,58.2,6.2,83.26,8,47.64,0.01,0.245,23.14,87.31,0.005,93.1,NA,NA,NA,0.683,44.97,NA,"46.05645","-112.9821"
"46","UWCNF_20","1334","xanthomendoza",2011,2012,"ICP",0.26,0.18,NA,0.97,0.09,0.07,502,1.12,NA,8.84,NA,0.22,3.28,3.9,621.4,16.11,NA,NA,0.33,1.27,0.01,13.83,2.43,13.85,0.005,33.31,NA,NA,NA,0.117,44.866,NA,"40.47165","-110.9195"
"47","WRNF_FTWA_6","1216","rhizoplaca ",2009,2009,"ICP",1.9,0.4,0.09,1.38,0.183,0.176,1.57,3.01,NA,16.08,0.52,0.3,4.12,8.22,1245,43.28,0.005,10.54,2.4,10.43,0.01,0.245,14.06,27.98,0.005,55.09,NA,NA,NA,0.15,44.5,NA,"39.78527","-107.42007"
"48","AGW_1","1494","rhizoplaca",2014,2014,"ICP",1.92,0.3,0.06,1.11,0.1,0.13,NA,1.96,5.1,8.32,0.26,0.24,3.39,4.51,708,21.9,1.13,84.5,0.98,156,0.54,245,23.8,16.7,0.005,25,NA,NA,NA,0.18,42.395,NA,"37.68453","-112.88625"
"49","UWCNF_15","1321","rhizoplaca",2011,2012,"ICP",5.25,0.21,NA,0.51,0.08106,0.07,NA,0.88,NA,28.56,NA,0.55,4.69,6.3,1506,27.12,NA,NA,0.89,15.66,0.01,8.19,41.38,35.59,0.005,16.38,NA,NA,NA,0.385,42.315,NA,"40.10977","-111.4343"
"50","HUW_12","1175","rhizoplaca ",2009,2009,"nk",6.38,0.3,0.099,1,0.092,0.109,NA,5.68,NA,19.85,4.36,4.03,8.09,7.42,1819,37.79,5.4,59.86,4.59,19.46,0.01,20.22,44.07,44.35,0.005,35.6,NA,NA,NA,0.21,41.01,NA,"40.8873","-109.75504"
"51","WRNF_FTWA_5","1217","rhizoplaca ",2009,2009,"ICP",4.27,0.26,0.068,0.85,0.078,0.11,1.57,4.02,NA,15.49,2.88,2.57,5.28,13.46,1103,139.3,4.85,11.51,8.19,32.49,0.01,0.245,35.3,26.96,0.005,54.37,NA,NA,NA,0.25,40.9,NA,"39.77659","-107.4231"
"52","HUW_12","1177","xanthomendoza",2009,2009,"nk",0.37,1.01,0.174,3.03,0.25,0.297,NA,8.04,NA,48.23,1.55,1.57,7.07,12.17,2166,81.8,0.11,52.4,5.25,10.08,0.01,0.245,9.86,53.14,0.005,93.74,NA,NA,NA,0.13,40.76,NA,"40.8873","-109.75504"
"53","UWCNF_16","1326","xanthomendoza",2011,2012,"ICP",0.63,0.89,NA,1.92,0.25,0.35,NA,1.94,NA,54.22,NA,0.7,6.21,8.96,2121,53.42,NA,NA,1.46,3.65,0.01,26.14,12.34,52.05,0.005,87.25,NA,NA,NA,0.103,40.749,NA,"40.02768","-111.2794"
